species,country,in_degree,out_degree,total_degree,in_strength,out_strength,total_strength,betweenness,eigen_centrality,in_degree_norm,out_degree_norm,total_degree_norm
Horses,Zambia,11,10,21,50,33,83,56.938890443921395,0.03328114773653721,0.05699481865284974,0.05181347150259067,0.054404145077720206
Horses,Algeria,13,7,20,47,21,68,28.763228527799757,0.09882217068762504,0.06735751295336788,0.03626943005181347,0.05181347150259067
Horses,Bangladesh,10,10,20,26,10,36,313.98226817342686,0.03256513899257453,0.05181347150259067,0.05181347150259067,0.05181347150259067
Horses,Mali,14,6,20,21,19,40,74.0501069393848,0.03163151300240538,0.07253886010362694,0.031088082901554404,0.05181347150259067
Horses,Trinidad and Tobago,10,10,20,55,43,98,65.23789448860563,0.0890409119882962,0.05181347150259067,0.05181347150259067,0.05181347150259067
Horses,Paraguay,12,7,19,75,21,96,104.49163323618453,0.11811701705462425,0.06217616580310881,0.03626943005181347,0.04922279792746114
Horses,Serbia and Montenegro,10,9,19,10,9,19,311.55558201126524,0.015901994072654583,0.05181347150259067,0.046632124352331605,0.04922279792746114
Horses,Afghanistan,13,5,18,38,6,44,196.76896975257526,0.03868793977871963,0.06735751295336788,0.025906735751295335,0.046632124352331605
Horses,Antigua and Barbuda,6,12,18,14,18,32,340.14332221777244,0.03240389588018435,0.031088082901554404,0.06217616580310881,0.046632124352331605
Horses,Bolivia (Plurinational State of),12,6,18,43,11,54,55.52575662311376,0.08651346030503203,0.06217616580310881,0.031088082901554404,0.046632124352331605
Horses,Montenegro,12,6,18,34,8,42,104.0797996388599,0.04717395479173257,0.06217616580310881,0.031088082901554404,0.046632124352331605
Horses,Democratic Republic of the Congo,13,4,17,47,12,59,35.62985896257829,0.05650427428345622,0.06735751295336788,0.02072538860103627,0.04404145077720207
Horses,Namibia,9,8,17,24,39,63,45.61194610328404,0.021642850027208962,0.046632124352331605,0.04145077720207254,0.04404145077720207
Horses,Uzbekistan,13,4,17,67,13,80,165.27062752734784,0.08686809394830523,0.06735751295336788,0.02072538860103627,0.04404145077720207
Horses,Cameroon,13,3,16,33,11,44,0.8333333333333333,0.062223187038138776,0.06735751295336788,0.015544041450777202,0.04145077720207254
Horses,"China, Macao SAR",13,3,16,67,10,77,19.175533073566275,0.10332775005781902,0.06735751295336788,0.015544041450777202,0.04145077720207254
Horses,Burkina Faso,9,6,15,25,11,36,193.29232253200482,0.018245218884963933,0.046632124352331605,0.031088082901554404,0.038860103626943004
Horses,Benin,10,4,14,16,7,23,219.57907093724532,0.013561910882886915,0.05181347150259067,0.02072538860103627,0.03626943005181347
Horses,Congo,11,3,14,25,9,34,42.06887846234081,0.03475401513568149,0.05699481865284974,0.015544041450777202,0.03626943005181347
Horses,Mozambique,9,5,14,30,7,37,91.19612254501276,0.028695048941711775,0.046632124352331605,0.025906735751295335,0.03626943005181347
Horses,Togo,8,6,14,14,9,23,46.29301350292437,0.008580636575626547,0.04145077720207254,0.031088082901554404,0.03626943005181347
Horses,Yemen,10,4,14,36,4,40,59.02809959565514,0.045091096092036244,0.05181347150259067,0.02072538860103627,0.03626943005181347
